question,answer,context
Kayıt yenileme işlemini kaçıran öğrenciler ne yapmalıdır?,"Kayıtlarını yenileyemeyen öğrenciler, akademik takvimde belirtilen mazeretli kayıt süresi içerisinde ilgili birimlere başvururlar. Mazeretleri kabul edilirse, ders ekleme-çıkarma süresinin sonuna kadar kayıtlarını yaptırabilirler.","MADDE 10 – (1) Kayıtlarını yenileyemeyen öğrenciler akademik takvimde belirtilen mazeretli kayıt süresi içerisinde ilgili fakülte öğrencileri için dekanlığa, ön lisans öğrencileri için meslek yüksekokulu müdürlüğüne başvururlar. Mazeretleri geçerli görülen öğrenciler, kayıtlarını ders ekleme –çıkarma süresinin sonuna kadar yaptırmakla yükümlüdürler."
Bir öğretim yılı kaç yarıyıldan oluşur ve her yarıyılın normal süresi ne kadardır?,"Bir öğretim yılı, güz ve bahar yarıyıllarından oluşur. Her yarıyılın normal süresi on dört haftadır.","MADDE 11 – (1) Öğretim yılı, güz ve bahar yarıyıllarından oluşur. Güz ve bahar yarıyıllarının her birisinin normal süresi on dört haftadır."
Derslerin kredi değerleri nasıl belirlenir?,"Derslerin kredi değerleri, bölümlerin teklifi üzerine ilgili kurullarda onaylandıktan sonra Senato tarafından belirlenir. Kredi değerlerinin hesaplanmasında AKTS kılavuzları esas alınır.",MADDE 12 – (1) Derslerin kredi değerleri bölümlerin teklifi üzerine ilgili kurullarda onaylandıktan sonra Senato tarafından belirlenir. Kredi değerlerinin hesaplanmasında AKTS kılavuzları esas alınır.
Öğretim planları nasıl oluşturulur ve güncellenir?,"Öğretim planları, ilgili bölümün önerisi, ilgili kurullar ve Senato kararı ile belirlenir ve güncellenebilir.","MADDE 13 – (2) Öğretim planları; ilgili bölümün önerisi, ilgili kurullar ve Senato kararı ile belirlenir ve güncellenebilir."
Ön lisans ve lisans programları için en az kaç AKTS kredisi tamamlanmalıdır?,"Ön lisans programı için en az 120, lisans programı için en az 240 AKTS kredisi tamamlanmalıdır.","MADDE 13 – (2) Öğretim planları, ön lisans programı için en az 120, lisans programı için en az 240 AKTS kredisi olmak üzere Senato tarafından belirlenen esaslar çerçevesinde düzenlenir."
Staj çalışmaları nasıl yapılır?,"Staj çalışmaları, ön lisans programları için meslek yüksekokulları, lisans programları için fakülteler tarafından her programın tabi olduğu ilgili mevzuat hükümlerine göre yapılır.","MADDE 13 – (3) Öğretim planına dâhil olan staj çalışmaları, ön lisans programları için meslek yüksekokulları, lisans programları için fakülteler tarafından her programın tabi olduğu ilgili mevzuat hükümlerine göre yapılır."
"Öğretim planı güncellendiğinde, öğrencilerin intibakı nasıl yapılır?","İlgili bölüme kayıtlı tüm öğrencilerin, tabi oldukları öğretim planının, güncellenmiş öğretim planına intibakı, Senato tarafından belirlenen esaslar çerçevesinde yapılır.","MADDE 13 – (4) İlgili bölüme kayıtlı tüm öğrencilerin, tabi oldukları öğretim planının, güncellenmiş öğretim planına intibakı, Senato tarafından belirlenen esaslar çerçevesinde yapılır."
Mezun olmak için öğretim planındaki tüm derslerin tamamlanması dışında başka bir şart var mıdır?,"Evet, mezun olabilmek için öğretim planında yer alan tüm derslerin, ön lisans programı için en az 120, lisans programı için en az 240 AKTS kredisinin tamamlanmış olması gerekir.","MADDE 13 – (5) Mezun olabilmek için öğretim planında yer alan tüm derslerin, ön lisans programı için en az 120, lisans programı için en az 240 AKTS kredisinin tamamlanmış olması gerekir."
Öğretim planındaki dersler nelerden oluşur?,"Öğretim planındaki dersler, zorunlu ve seçmeli derslerden oluşur.","MADDE 13 – (6) a) Öğretim planındaki dersler, zorunlu ve seçmeli derslerden oluşur."
Lisansüstü dersler lisans öğrencileri tarafından alınabilir mi?,"Evet, genel not ortalaması en az 3.00 olan dördüncü sınıf öğrencileri, danışmanlarının uygun görmesi durumunda en fazla iki tane 500 kodlu lisansüstü ders alabilirler.",MADDE 13 – (7) Kayıtlı oldukları programda genel not ortalaması en az 3.00 olan dördüncü sınıf öğrencileri talep etmeleri ve danışmanlarının uygun görmesi durumunda en fazla iki tane 500 kodlu lisansüstü ders alabilirler.
Lisans ve ön lisans programlarının normal ve azami bitirme süreleri ne kadardır?,"Lisans programları sekiz yarıyıl olup, azami bitirme süresi yedi yıldır. Ön lisans programları dört yarıyıl olup azami bitirme süresi dört yıldır.","MADDE 14 – (1) İngilizce hazırlık programında geçirilen süre hariç, Üniversitedeki lisans eğitim -öğretim programları sekiz yarıyıl olup, azami bitirme süresi yedi yıldır. Meslek Yüksekokullarında yürütülen ön lisans programları dört yarıyıl olup azami bitirme süresi dört yıldır."
Hazırlık eğitiminin azami süresi ne kadardır?,Hazırlık eğitim süresi azami iki yıldır.,MADDE 14 – (2) Hazırlık eğitim süresi azami iki yıldır.
Bir dersin ön şartı veya eş şartı ne anlama gelir?,"Bir dersin ön ve eş şartı, ilgili bölümün önerisi, fakülte veya meslek yüksekokulu kurulunun teklifi ve Senato kararı ile belirlenir. Bu şartlar sağlanmadan derslere kayıt yaptırılamaz.","MADDE 15 – (1) Bir dersin ön ve eş şartı; ilgili bölümün önerisi, fakülte veya meslek yüksekokulu kurulunun teklifi ve Senato kararı ile belirlenir. (2) Ön ve eş şartları sağlanmayan derslere kayıt yaptırılamaz."
Lisans öğrencilerinin yarıyıllık asgari kredi yükü ne kadardır?,Lisans öğrencilerinin yarıyıllık asgari kredi yükü 20 AKTS'dir.,MADDE 16 -(1) Lisans öğrencilerinin yarıyıllık asgari kredi yükü 20 AKTS’dir .
Lisans öğrencilerinin bir yarıyılda alabileceği azami kredi yükü ne kadardır?,Lisans öğrencilerinin bir yarıyılda alabileceği azami kredi yükü 35 AKTS'dir. Çift ana dal ya da yan dal programına devam eden öğrenciler için azami toplam 50 AKTS uygulanır.,MADDE 16 -(2) Öğrencilerin bir yarıyılda azami kredi yükü 35 AKTS’dir. Çift ana dal ya da yan dal programına devam eden öğrenciler için azami toplam 50 AKTS uygulanır.
Birinci ve ikinci yarıyıldaki öğrenciler kredi yükü konusunda nelere dikkat etmelidir?,"Birinci ve ikinci yarıyıldaki öğrenciler, olağan kredi yükünü aşamazlar ve öğretim planında birinci ve ikinci yarıyıl için belirlenmiş derslere kayıt yaptırmaları esastır.","MADDE 16 – (3) Birinci ve ikinci yarıyıldaki öğrenciler, olağan kredi yükünü aşamazlar ve öğretim planında birinci ve ikinci yarıyıl için belirlenmiş derslere kayıt yaptırmaları esastır."
Genel not ortalaması düşük olan öğrenciler kaç AKTS kredisi alabilir?,"İkinci yarıyılın sonundan itibaren ağırlıklı genel not ortalaması 1,99 ve altında olan öğrenciler, bir yarıyılda 30 AKTS’den fazla ders alamaz.","MADDE 16 – (4) İkinci yarıyılın sonundan itibaren ağırlıklı genel not ortalaması 1,99 ve altında olan öğrenciler, bir yarıyılda 30 AKTS’den fazla ders alamaz."
Azami kredi yükü hangi durumlarda artırılabilir?,"Öğrencinin talebi ve danışmanının onayı ile genel not ortalaması, ön lisans öğrencileri için en az 2,00, lisans öğrencileri için en az 2,50 olması halinde azami kredi yükü 40 krediye çıkarılabilir. Ayrıca, öğrencinin talebi ve danışmanın onayı ile genel not ortalaması en az 2,00 olan ve 160 AKTS’yi tamamlamış lisans öğrencileri için azami kredi yükü 40 AKTS’ye çıkarılabilir.","MADDE 16 – (5) Öğrencinin talebi ve danışmanının onayı ile genel not ortalaması, ön lisans öğrencileri için en az 2,00, lisans öğrencileri için en az 2,50 olması halinde azami kredi yükü 40 krediye çıkarılabilir. Ayrıca, öğrencinin talebi ve danışmanın onayı ile genel not ortalaması en az 2,00 olan ve 160 AKTS’yi tamamlamış lisans öğrencileri için azami kredi yükü 40 AKTS’ye çıkarılabilir."
Ders ekleme-çıkarma işlemleri ne zaman yapılır?,"Ders ekleme-çıkarma işlemleri, akademik takvimde belirlenen tarihlerde yapılır.","MADDE 17 – (1) Akademik takvimde belirlenen tarihlerde ders seçimi yaparak kayıt yenileyen öğrenciler, akademik takvimdeki ders ekleme -çıkarma günleri içerisinde 16 ncı maddede yer alan kredi yükü şartlarını ve 15 inci maddede belirtilen ön ve eş şartları sağlamak koş uluyla haftalık ders programında çakışma olmayan derslerden danışmanının onayını alarak öğretim planındaki kayıtlı olduğu derslerden ekleme -çıkarma yapabilir."
Bitirme çalışması hangi yarıyıllarda yapılır?,"Bitirme çalışması, ön lisans programlarında üçüncü ve/veya dördüncü yarıyıl, lisans programlarında yedinci ve/veya sekizinci yarıyıl dersi olarak yer alır.","MADDE 18 – (1) Bitirme çalışması, ön lisans programlarında üçüncü ve/veya dördüncü yarıyıl, lisans programlarında yedinci ve/veya sekizinci yarıyıl dersi olarak yer alır."
Bitirme çalışması nerede yapılmak zorundadır?,"Öğrenci, mezun olmadan önce, kendisinden istenen mesleki düzeye ulaştığını gösteren bitirme çalışmasını tamamlamak zorundadır. Bitirme çalışmasını, mezun olacağı programdan yapması zorunludur.","MADDE 18 – (2) Öğrenci, mezun olmadan önce, kendisinden istenen mesleki düzeye ulaştığını gösteren bitirme çalışmasını tamamlamak zorundadır. Bitirme çalışmasını, mezun olacağı programdan yapması zorunludur."
Yarıyıl izni (kayıt dondurma) hangi durumlarda alınabilir?,"Kayıtlı öğrenciler sağlık, askerlik, yurt içi veya yurt dışı yükseköğrenim kurumlarında eğitim, maddi, ailevi ve olağan dışı durumlar nedeniyle yarıyıl izni alabilirler.","MADDE 19 – (1) Kayıtlı öğrenciler sağlık, askerlik, yurt içi veya yurt dışı yükseköğrenim kurumlarında eğitim, maddi, ailevi ve olağan dışı durumlar nedeniyle ön lisans için meslek yüksekokul yönetim kurulu kararı ile en fazla iki yarıyıl izin, lisans için fakülte yönetim kurulu kararı ile bir seferde en fazla iki yarıyıl toplamda dört yarıyıl alabilirler."
Yarıyıl izni en fazla ne kadar süreyle alınabilir?,"Ön lisans öğrencileri en fazla iki yarıyıl, lisans öğrencileri ise bir seferde en fazla iki yarıyıl, toplamda dört yarıyıl izin alabilirler.","MADDE 19 – (1) Kayıtlı öğrenciler sağlık, askerlik, yurt içi veya yurt dışı yükseköğrenim kurumlarında eğitim, maddi, ailevi ve olağan dışı durumlar nedeniyle ön lisans için meslek yüksekokul yönetim kurulu kararı ile en fazla iki yarıyıl izin, lisans için fakülte yönetim kurulu kararı ile bir seferde en fazla iki yarıyıl toplamda dört yarıyıl alabilirler."
Değişim programları nedir ve nasıl yürütülür?,"Değişim programları, üniversitenin yurt içi veya yurt dışı yükseköğretim kurumları ile yaptığı anlaşmalar çerçevesinde öğrencilerin diğer kurumlarda eğitim görmelerine olanak tanır. İlgili mevzuat hükümleri çerçevesinde Senato tarafından belirlenen esaslara göre yürütülür.","MADDE 20 – (1) Değişim programı, Üniversitenin yurt içi veya yurt dışı yükseköğretim kurumları ile yapılan karşılıklı anlaşmalar çerçevesinde öğrencilerin diğer kurumda eğitim -öğretim görmelerine olanak tanır. (2) Değişim programları ilgili mevzuat hükümleri çerçevesinde Senato tarafından belirlenen esaslara göre yürütülür."
"Değişim programları süresi, öğrencinin öğretim süresinden sayılır mı?","Evet, değişim programları süresi içinde öğrencinin üniversitedeki kaydı devam eder ve bu süre öğretim süresinden sayılır.",MADDE 20 – (3) Değişim programları süresi içinde öğrencinin Üniversitedeki kaydı devam eder ve bu süre öğretim süresinden sayılır.
Öğrenciler başka bir yükseköğretim kurumundan ders alabilir mi?,"Evet, ön lisans veya lisans programına kayıtlı öğrenciler, danışmanın onayı ile ilgili bölüm başkanlığının önerisi ve ilgili yönetim kurulu kararıyla başka bir yükseköğretim kurumundan ders alabilir.","MADDE 21 – (1) Ön lisans veya lisans programına kayıtlı öğrenciler başka bir yükseköğretim kurumundan, danışmanın onayı ile ilgili bölüm başkanlığının önerisi ve ilgili yönetim kurulu kararıyla ders alabilir."
Yaz öğretimi hangi yönetmeliğe göre yapılır?,"Yaz öğretimi, Gebze Teknik Üniversitesi Yaz Öğretimi Yönetmeliği çerçevesinde gerçekleştirilir.","MADDE 21 – (5) Yaz öğretimi, 7/3/2021 tarihli ve 31416 sayılı Resmî Gazete’de yayımlanan Gebze Teknik Üniversitesi Yaz Öğretimi Yönetmeliği çerçevesinde gerçekleştirilir."
Ders bilgi formu nedir ve ne işe yarar?,"Derslerin işlenişi, devam durumu, değerlendirme ölçütleri ve içeriği yarıyıl başında ilgili öğretim elemanı tarafından hazırlanan ders bilgi formu ile öğrencilere duyurulur.","MADDE 22 – (1) Derslerin işlenişi, devam durumu, değerlendirme ölçütleri ve içeriği yarıyıl başında ilgili öğretim elemanı tarafından hazırlanan ders bilgi formu ile öğrencilere duyurulur ve ders bilgi sisteminde ilan edilir."
Teorik ve uygulamalı derslerde devam zorunluluğu ne kadardır?,"Teorik derslerde en az %70, laboratuvar ve uygulamalı derslerde en az %80 devam zorunluluğu aranır.","MADDE 23 – (1) Teorik derslerde en az %70, laboratuvar ve uygulamalı derslerde en az %80 devam zorunluluğu aranır."
Bir dersteki başarı nasıl belirlenir?,"Öğrencinin bir dersteki başarısı, ders bilgi formunda belirtilen değerlendirme ölçütlerine göre belirlenir.","MADDE 24 – (1) Öğrencinin bir dersteki başarısı, ders bilgi formunda belirtilen değerlendirme ölçütlerine göre belirlenir."
Devamsızlık nedeniyle başarısız olan öğrencilere hangi not verilir?,Derslere devamı yetersiz olan öğrencilere NA notu verilir.,"MADDE 24 – (4) Ders bilgi formunda belirtilen yükümlülükleri yerine getirmeyen öğrenciye VF, derslere devamı yetersiz olan öğrencilere NA notu verilir."
Derse devam şartını sağladığı halde yarıyıl sonu sınavına girmeyen öğrencilere ne olur?,Derse devam şartını sağladığı halde yarıyıl sonu sınavına girmeyen öğrenciler yıl içi başarılarına bakılmaksızın FF notu ile değerlendirilir.,MADDE 24 – (5) Derse devam şartını sağladığı halde yarıyıl sonu sınavına girmeyen öğrenciler yıl içi başarılarına bakılmaksızın FF notu ile değerlendirilir.
D sınavı nedir ve kimler girebilir?,"Yarıyıl sonu sınavına girdiği dersten FF notu alan öğrencilere, derse kayıtlı olduğu dönem için akademik takvimde belirtilen zamanda D sınavı yapılır.","MADDE 25 – (3) Yarıyıl sonu sınavına girdiği dersten FF notu alan öğrencilere, derse kayıtlı olduğu dönem için akademik takvimde belirtilen zamanda D sınavı yapılır ve sonucu harf notu olarak ilan edilir."
D sınavından başarılı olan öğrencinin notu ne olur?,D sınavından başarılı olan öğrenci DD notu alır.,"MADDE 25 – (3) Öğrenci, D sınavından başarılı olduğu takdirde DD notu alır."
Hangi dersler için D sınavı yapılmaz?,"Staj, laboratuvar, proje ve bitirme çalışması gibi dersler için D sınavı yapılmaz.","MADDE 25 – (3) Staj, labo ratuvar, proje ve bitirme çalışması gibi dersler için D sınavı yapılmaz."
EX notu ne anlama gelir?,"EX notu, öğrencilerin kayıtlı oldukları program, yan dal ve çift ana dal programlarında var olan ve öğrencinin muaf olduğu dersler için verilir.","MADDE 26 – (1) a)EX (Muaf): Öğrencilerin kayıtlı oldukları program, yan dal ve çift ana dal programlarında var olan ve öğrencinin muaf olduğu dersler için verilir."
NC notu ne anlama gelir?,"NC notu, öğrencilerin kayıtlı oldukları program, yan dal ve çift ana dal programları dışında aldıkları derslerde verilir. Bu derslere ait başarı notları ortalamaya dâhil edilmez.","MADDE 26 – (1) c) NC (Kredisiz/ortalama dışı): Öğrencilerin kayıtlı oldukları program, yan dal ve çift ana dal programları dışında aldıkları derslerde verilir. Bu derslere ait başarı notları ortalamaya dâhil edilmez; transkriptte yer alır."
Bir dersi başarı ile tamamlamak için hangi notu almak gerekir?,Bir dersi başarı ile tamamlamak için o dersten CC ve üstü veya S notu almak gerekir.,MADDE 27 – (1) Bir dersi başarı ile tamamlamak için o dersten CC ve üstü veya S notu almak gerekir.
Dönem sonundaki ağırlıklı genel not ortalaması kaç olunca DD ve DC notları başarılı kabul edilir?,"Dönem sonundaki ağırlıklı genel not ortalaması en az 2,00 olmak koşulu ile ilgili dönemde alınan DD ve DC notları da başarılı kabul edilir.","MADDE 27 – (2) Dönem sonundaki ağırlıklı genel not ortalaması en az 2,00 olmak koşulu ile ilgili dönemde alınan DD ve DC notları da başarılı kabul edilir."
Öğrenciler notlarına nasıl itiraz edebilir?,"Öğrenci, yarıyıl içi sınav sonuçlarına, notun ilan edilmesinden itibaren 5 iş günü içerisinde ilgili bölüm başkanlığına yazılı olarak başvurup itiraz edebilir.","MADDE 28 – (1) Öğrenci, yarıyıl içi sınav sonuçlarına, notun ilan edilmesinden itibaren 5 iş günü içerisinde ilgili bölüm başkanlığına yazılı olarak başvurup itiraz edebilir."
Mazeret sınavı hakkı hangi durumlarda verilir?,"Haklı ve geçerli nedenlerle sınavlarına giremeyen öğrencilere, ilgili yönetim kurulu kararlarıyla aynı yarıyıl içinde mazeret sınav hakkı verilir.","MADDE 29 – (1) Haklı ve geçerli nedenlerle sınavlarına giremeyen öğrenciler e, ilgili yönetim kurulu kararlarıyla aynı yarıyıl içinde dersi veren öğretim elemanının belirleyeceği gün ve saatte kullanılmak üzere mazeret sınav hakkı verilir."
Ağırlıklı yarıyıl not ortalaması nasıl hesaplanır?,"Ağırlıklı yarıyıl not ortalaması, öğrencinin belirli bir yarıyılda aldığı derslerin kredilerinin 4’lük sistemdeki notları ile çarpılması sonucu elde edilecek sayılar toplamının, başarı notu EX, NC, S, U olan dersler hariç krediler toplamına bölünmesi ile bulunur.","MADDE 30 – (1) Ağırlıklı yarıyıl not ortalaması, öğrencinin belirli bir yarıyılda aldığı derslerin kredilerinin 4’lük sistemdeki notları ile çarpılması sonucu elde edilecek sayılar toplamının başarı notu EX, NC, S, U olan dersler hariç krediler toplamına bölünmesi il e bulunacak değerdir."
Onur öğrencisi ve yüksek onur öğrencisi nasıl belirlenir?,"Kayıtlı olduğu sekiz dönem içinde mezun olan ve genel not ortalaması 3,00 - 3,49 arasında olan öğrenciler onur öğrencisi, 3,50 ve üstü olanlar ise yüksek onur öğrencisi olarak mezun olurlar.","MADDE 31 – (1) Kayıtlı olduğu sekiz dönem içinde mezun olan ve genel not ortalaması 3,00 - 3,49 arasında olan öğrenciler onur öğrencisi, 3,50 ve üstü olanlar ise yüksek onur öğrencisi olarak mezun olurlar ve bu durum transkriptlerinde belirtilir."
Sınamalı öğrenci ne demektir?,"Lisans programlarında ikinci yarıyılın sonundan itibaren, ağırlıklı genel not ortalaması 1,99 ve aşağı olan öğrenciler sınamalı öğrenci sayılır.","MADDE 31 – (3) Lisans programlarında ikinci yarıyılın sonundan itibaren, ağırlıklı genel not ortalaması 1,99 ve aşağı olan öğrenciler sınamalı öğrenci sayılır."
Hangi notları alan öğrenciler ders tekrarı yapmak zorundadır?,"Öğrenciler FF, VF, NA ve U notu aldıkları tüm dersleri tekrar etmek zorundadır.","MADDE 32 – (1) Öğrenciler FF, VF, NA ve U notu aldıkları tüm dersleri tekrar etmek zorundadır."
Tek ders sınavı nedir ve kimler girebilir?,"Tek ders sınavı, ilgili programın öğretim planında staj dersleri dışında var olan derslerden biri hariç hepsini tamamlamış olan öğrencilerin başarısız olduğu ders için girebileceği bir sınavdır.",MADDE 33 – (1) Tek ders sınavı ilgili programın öğretim planında staj dersleri dışında var olan derslerden biri hariç hepsini tamamlamış olan öğrencilerin başarısız olduğu ders için girebileceği bir sınavdır.
Mezuniyet için hangi şartlar gereklidir?,"Mezun olmak için öğrencinin bağlı bulunduğu programın öğretim planında yer alan tüm kredi yükünü ve çalışmaları başarı ile tamamlaması, ağırlıklı genel not ortalamasının en az 2,00'a ulaşması ve kayıtlı olduğu programdaki toplam kredi yükünün en az yarısını GTÜ'de almış olması gerekmektedir.",
Gebze Teknik Üniversitesi'nde lisansüstü eğitim almanın temel amacı nedir?,"Lisansüstü eğitimin temel amacı, ilgili alanda uzmanlaşmış bireyler yetiştirmek ve bilimsel araştırmalar yapmalarını sağlamaktır.","MADDE 1 - (1) Bu Yönetmeliğin amacı, Gebze Teknik Üniversitesinde yürütülen lisansüstü eğitim - öğretim ile ilgili usul ve esasları düzenlemektir."
Gebze Teknik Üniversitesi'nde hangi lisansüstü program türleri bulunmaktadır?,"Gebze Teknik Üniversitesi'nde tezli yüksek lisans, tezsiz yüksek lisans ve doktora programları bulunmaktadır. Ayrıca uzaktan öğretim ve ortak programlar da mevcuttur.",MADDE 5 - (2) Lisansüstü eğitim -öğretim; tezli ve tezsiz yüksek lisans programı ve doktora programı düzeylerinde yapılır. Ayrıca öğretim elemanı ve öğrencilerin aynı mekânda bulunma zorunluluğu olmaksızın yapılan lisansüstü uzaktan öğretim programları ve yurt içi/yurt dışı yükseköğretim kurumlarıyla ve protokollerle belirlenen kurumların desteğiyle ortak lisansüstü programlar ile uzaktan lisansüstü eğitim -öğretim yapılabilir.
Lisansüstü programlar hangi akademik birimler esas alınarak açılır ve yürütülür?,"Lisansüstü programlar, enstitünün anabilim dalları esas alınarak açılır ve yürütülür.","MADDE 5 - (1) Lisansüstü programlar, enstitünün anabilim dalları esas alınarak açılır ve yürütülür."
